Summary:
+-------------+--------------------------+------------------------+
| Total tests |     Total Execution Time | Average Execution Time |
+-------------+--------------------------+------------------------+
|         154 | 33 minutes 31.72 seconds |          13.06 seconds |
+-------------+--------------------------+------------------------+
Results:
+---------------------------+---------+----------+----------+----------+----------+----------+
| Instance name             | # nodes | Result_A | Result_F | Result_M | Result_N | Result_S |
| data/common-2-500.txt     |     500 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-5000.txt    |    5000 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-5757.txt    |    5757 |     True |        1 |  Not run |       -1 |    False |
| data/dodecahedron.txt     |      20 |     True |        2 |  Not run |        1 |    False |
| data/gnm-1000-1500-0.txt  |    1000 |    False |        1 |  Not run |       -1 |    False |
| data/gnm-1000-1500-1.txt  |    1000 |    False |        2 |  Not run |       -1 |    False |
| data/gnm-1000-2000-0.txt  |    1000 |    False |        0 |  Not run |        7 |    False |
| data/gnm-1000-2000-1.txt  |    1000 |    False |        2 |  Not run |       -1 |    False |
| data/gnm-10-15-0.txt      |      10 |     True |        0 |  Not run |        1 |    False |
| data/gnm-10-15-1.txt      |      10 |     True |        1 |  Not run |        1 |    False |
| data/gnm-10-20-0.txt      |      10 |    False |        1 |  Not run |       -1 |    False |
| data/gnm-10-20-1.txt      |      10 |     True |        2 |  Not run |       -1 |    False |
| data/gnm-2000-3000-0.txt  |    2000 |    False |        0 |  Not run |        8 |    False |
| data/gnm-2000-3000-1.txt  |    2000 |     True |        2 |  Not run |       -1 |    False |
| data/gnm-2000-4000-0.txt  |    2000 |    False |        0 |  Not run |        6 |    False |
| data/gnm-2000-4000-1.txt  |    2000 |    False |        0 |  Not run |        5 |    False |
| data/gnm-3000-4500-0.txt  |    3000 |    False |        0 |  Not run |       10 |    False |
| data/gnm-3000-4500-1.txt  |    3000 |    False |        2 |  Not run |       -1 |    False |
| data/gnm-3000-6000-0.txt  |    3000 |    False |        0 |  Not run |        6 |    False |
| data/gnm-3000-6000-1.txt  |    3000 |    False |        2 |  Not run |       -1 |    False |
| data/gnm-4000-6000-0.txt  |    4000 |    False |        0 |  Not run |        7 |    False |
| data/gnm-4000-6000-1.txt  |    4000 |     True |        1 |  Not run |       -1 |    False |
| data/gnm-4000-8000-0.txt  |    4000 |    False |        0 |  Not run |        5 |    False |
| data/gnm-4000-8000-1.txt  |    4000 |     True |        2 |  Not run |       -1 |    False |
| data/gnm-5000-10000-0.txt |    5000 |    False |        2 |  Not run |       -1 |    False |
| data/gnm-5000-10000-1.txt |    5000 |     True |        1 |  Not run |       -1 |    False |
| data/gnm-5000-7500-0.txt  |    5000 |    False |       -1 |  Not run |       -1 |    False |
| data/gnm-5000-7500-1.txt  |    5000 |    False |       -1 |  Not run |       -1 |    False |
| data/grid-10-0.txt        |     100 |     True |        0 |  Not run |       49 |    False |
| data/grid-10-1.txt        |     100 |     True |        0 |  Not run |       29 |    False |
| data/grid-10-2.txt        |     100 |     True |        2 |  Not run |       -1 |    False |
| data/grid-25-0.txt        |     625 |     True |        0 |  Not run |      324 |    False |
| data/grid-25-1.txt        |     625 |     True |        0 |  Not run |      123 |    False |
| data/grid-25-2.txt        |     625 |     True |        5 |  Not run |       -1 |    False |
| data/grid-50-0.txt        |    2500 |     True |        0 |  Not run |     1249 |    False |
| data/grid-50-1.txt        |    2500 |     True |        0 |  Not run |      521 |    False |
| data/grid-50-2.txt        |    2500 |     True |       11 |  Not run |       -1 |    False |
| data/grid-5-0.txt         |      25 |     True |        0 |  Not run |       14 |    False |
| data/grid-5-1.txt         |      25 |     True |        0 |  Not run |        8 |    False |
| data/grid-5-2.txt         |      25 |     True |        1 |  Not run |       -1 |    False |
| data/G-ex.txt             |       8 |     True |        0 |  Not run |        3 |    False |
| data/increase-n100-1.txt  |     100 |    False |       -1 |  Not run |       -1 |     True |
| data/increase-n100-2.txt  |     100 |     True |        2 |  Not run |        1 |     True |
| data/increase-n100-3.txt  |     100 |    False |       -1 |  Not run |       -1 |     True |
| data/increase-n10-1.txt   |      10 |     True |        1 |  Not run |        1 |     True |
| data/increase-n10-2.txt   |      10 |     True |        2 |  Not run |        1 |     True |
| data/increase-n10-3.txt   |      10 |    False |       -1 |  Not run |       -1 |    False |
| data/increase-n20-1.txt   |      20 |    False |       -1 |  Not run |       -1 |     True |
| data/increase-n20-2.txt   |      20 |     True |        1 |  Not run |        1 |     True |
| data/increase-n20-3.txt   |      20 |    False |       -1 |  Not run |       -1 |    False |
| data/increase-n500-1.txt  |     500 |     True |        2 |  Not run |        1 |     True |
| data/increase-n500-2.txt  |     500 |     True |        1 |  Not run |        1 |     True |
| data/increase-n500-3.txt  |     500 |     True |        1 |  Not run |        1 |     True |
